,UniqueID,FeatureNam,FeatureSta,Count
44,10000040011_20000025011_80004836011,Gutter,Open,1
45,10000040011_20000070011_20000070011,Gutter,Blocked,6
46,10000040011_20000070011_20000070011,Gutter,Open,4
47,10000040011_20000070011_80004882011,Gutter,Blocked,7
48,10000040011_20000070011_80004882011,Gutter,Open,1
49,10000040011_21000025011_80005853011,Gutter,Open,1
50,10000040011_40001141011_40001208011,Gutter,Open,4
51,10000040011_40001200011_80004801011,Gutter,Blocked,3
52,10000040011_40001205011_40001141011,Gutter,Open,2
53,10000040011_40001208011_40001210011,Gutter,Blocked,5
54,10000040011_40001208011_40001210011,Gutter,Open,3
55,10000040011_40001210011_50096945011,Gutter,Blocked,1
56,10000040011_40001210011_50096945011,Gutter,Open,1
57,10000040011_40001234011_40001224011,Gutter,Blocked,1
58,10000040011_40001234011_40001224011,Gutter,Open,3
59,10000040011_40002531011_80004883011,Gutter,Blocked,3
60,10000040011_40002531011_80004883011,Gutter,Open,1
61,10000040011_40002724011_40002500011,Gutter,Open,1
62,10000040011_40002856011_40002724011,Gutter,Blocked,1
63,10000040011_40003075011_80004841011,Gutter,Open,1
64,10000040011_40003620011_Pseudo,Gutter,Open,1
65,10000040011_50094874011_50098546011,Gutter,Blocked,4
66,10000040011_50096056011_20000070011,Gutter,Blocked,2
67,10000040011_50096945011_40001220011,Gutter,Blocked,2
68,10000040011_50096945011_40001220011,Gutter,Open,1
69,10000040011_50096945011_50096945011,Gutter,Blocked,5
70,10000040011_50098546011_21000025011,Gutter,Blocked,1
71,10000040011_50098546011_21000025011,Gutter,Open,1
72,10000040011_70000901011_80004860011,Gutter,Open,4
73,10000040011_80004801011_40001205011,Gutter,Open,1
74,10000040011_80004804011_20000019011,Gutter,Blocked,3
75,10000040011_80004804011_20000019011,Gutter,Open,10
76,10000040011_80004805011_Pseudo,Gutter,Blocked,13
77,10000040011_80004805011_Pseudo,Gutter,Open,17
78,10000040011_80004841011_21000074011,Gutter,Open,2
79,10000040011_80004843011_10000240011,Gutter,Blocked,1
80,10000040011_80004865011_40002856011,Gutter,Open,1
81,10000040011_80004882011_40002531011,Gutter,Blocked,3
82,10000040011_80004882011_40002531011,Gutter,Open,1
83,10000040011_80004883011_40002702011,Gutter,Blocked,4
84,10000040011_80004883011_40002702011,Gutter,Open,2
85,10000040011_BC000044_40001200011,Gutter,Blocked,1
86,10000040011_BC000044_40001200011,Gutter,Open,3
87,10000040011_Pseudo_40003412011,Gutter,Blocked,1
88,10000040011_Pseudo_40003412011,Gutter,Open,3
89,10000040011_Pseudo_80004804011,Gutter,Blocked,7
90,10000040011_Pseudo_80004804011,Gutter,Open,6
91,10000040011_Pseudo_Pseudo,Gutter,Open,1
92,10000040012_20000064012_80002857012,Gutter,Open,2
93,10000040012_40001102012_80002856012,Gutter,Blocked,2
94,10000040012_40001129012_80002841012,Gutter,Open,1
95,10000040012_40001138012_80002845012,Gutter,Open,1
96,10000040012_40001142012_80002853012,Gutter,Blocked,1
97,10000040012_40001744012_80002882012,Gutter,Blocked,2
98,10000040012_40001755012_40001758012,Gutter,Open,1
99,10000040012_40001843012_40001734012,Gutter,Open,7
100,10000040012_40001922012_80002861012,Gutter,Open,2
101,10000040012_40001924012_30400018012,Gutter,Blocked,2
102,10000040012_40001924012_30400018012,Gutter,Open,7
103,10000040012_80002840012_40001129012,Gutter,Open,3
104,10000040012_80002841012_80002844012,Gutter,Open,3
105,10000040012_80002849012_40001168012,Gutter,Open,1
106,10000040012_80002852012_40001142012,Gutter,Open,1
107,10000040012_80002853012_40001102012,Gutter,Blocked,1
108,10000040012_80002856012_20000064012,Gutter,Open,1
109,10000040012_80002857012_80002860012,Gutter,Open,7
110,10000040012_80002860012_40401922012,Gutter,Open,2
111,10000040012_80002861012_40001924012,Gutter,Blocked,1
112,10000040012_80002861012_40001924012,Gutter,Open,1
113,10000040012_80002864012_40001708012,Gutter,Open,4
114,10000040012_80002865012_80002864012,Gutter,Open,1
115,10000040012_80002877012_80002878012,Gutter,Blocked,1
116,10000040012_80002878012_80002881012,Gutter,Open,2
117,10000040012_80002882012_80002885012,Gutter,Blocked,1
118,10000040012_80002898012_80002899012,Gutter,Blocked,1
119,10000040012_BC000059_80002840012,Gutter,Open,7
120,10000040051_20000301051_80000280051,Gutter,Open,2
121,10000040051_30000096051_80005718051,Gutter,Open,1
122,10000040051_30000210051_80000262051,Gutter,Blocked,1
123,10000040051_30000210051_80000262051,Gutter,Open,2
124,10000040051_30000242051_80000274051,Gutter,Blocked,1
125,10000040051_30000242051_80000274051,Gutter,Open,3
126,10000040051_40001005051_80005717051,Gutter,Open,2
127,10000040051_40001010051_40001525051,Gutter,Blocked,1
128,10000040051_40001010051_40001525051,Traffic-Lights,Ground-Mounted,1
129,10000040051_40001143051_40001176051,Gutter,Blocked,1
130,10000040051_40001143051_40001176051,Gutter,Open,3
131,10000040051_40001176051_Pseudo,Gutter,Open,1
132,10000040051_40001308051_81005712051,Gutter,Blocked,2
133,10000040051_40001308051_81005712051,Gutter,Open,3
134,10000040051_40001322051_40001399051,Gutter,Blocked,9
135,10000040051_40001322051_40001399051,Gutter,Open,3
136,10000040051_40001399051_40001308051,Gutter,Blocked,4
137,10000040051_40001399051_40001308051,Gutter,Open,8
138,10000040051_40001517051_40001521051,Gutter,Blocked,2
139,10000040051_40001517051_40001521051,Gutter,Open,11
140,10000040051_40001521051_80000261051,Gutter,Blocked,3
141,10000040051_40001521051_80000261051,Gutter,Open,8
142,10000040051_40001525051_40001517051,Gutter,Blocked,7
143,10000040051_40001525051_40001517051,Gutter,Open,1
144,10000040051_80000261051_30000210051,Gutter,Open,2
145,10000040051_80000262051_40001322051,Gutter,Blocked,6
146,10000040051_80000262051_40001322051,Gutter,Open,7
147,10000040051_80000272051_30600242051,Gutter,Open,2
148,10000040051_80000274051_20000301051,Gutter,Blocked,1
149,10000040051_80000274051_20000301051,Gutter,Open,15
150,10000040051_80000278051_40001211051,Gutter,Open,3
151,10000040051_80000280051_80000281051,Gutter,Open,5
152,10000040051_80000282051_80000278051,Gutter,Open,3
153,10000040051_81005712051_80000272051,Gutter,Blocked,3
154,10000040051_81005712051_81005712051,Gutter,Blocked,2
155,10000040051_81005712051_81005712051,Gutter,Open,5
156,10000040051_Pseudo_40001143051,Gutter,Blocked,1
157,10000040051_Pseudo_40001143051,Gutter,Open,1
158,10000040059_20000221059_80002981059,Gutter,Open,2
159,10000040059_40001001059_81006161059,Gutter,Blocked,1
160,10000040059_40001001059_81006161059,Gutter,Open,1
161,10000040059_40001168059_80002976059,Gutter,Open,1
162,10000040059_40001191059_80006638059,Gutter,Blocked,14
163,10000040059_40001191059_80006638059,Gutter,Open,2
164,10000040059_40001736059_40001741059,Gutter,Open,3
165,10000040059_40001763059_Pseudo,Gutter,Open,3
166,10000040059_50098793059_40001191059,Gutter,Blocked,6
167,10000040059_50098793059_40001191059,Gutter,Open,17
168,10000040059_80002950059_80002950059,Gutter,Open,1
169,10000040059_80002961059_50098793059,Gutter,Open,9
170,10000040059_80002981059_Pseudo,Gutter,Open,1
171,10000040059_80002987059_40001741059,Gutter,Open,1
172,10000040059_80002994059_40001803059,Gutter,Open,2
173,10000040059_80006638059_80006639059,Gutter,Blocked,1
174,10000040059_81006161059_80002975059,Gutter,Open,1
175,10000040059_81006161059_81006161059,Gutter,Open,5
176,10000040059_BC000011_80002950059,Gutter,Blocked,6
177,10000040059_BC000011_80002950059,Gutter,Open,32
178,10000040059_BC000011_80002950059,Traffic-Lights,Overhead,18
179,10000095042_30000481042_80000057042,Gutter,Open,1
180,10000095042_40001002042_40001211042,Gutter,Blocked,2
181,10000095042_40001002042_40001211042,Gutter,Open,3
182,10000095042_40001210042_80000060042,Gutter,Open,1
183,10000095042_40001600042_80000064042,Gutter,Open,3
184,10000095042_40001612042_40001600042,Gutter,Open,7
185,10000095042_40001742042_Pseudo,Gutter,Blocked,4
186,10000095042_40001742042_Pseudo,Gutter,Open,6
187,10000095042_80000057042_40001002042,Gutter,Blocked,2
188,10000095042_80000057042_40001002042,Gutter,Open,6
189,10000095042_80000065042_80000070042,Gutter,Open,1
190,10000095042_80000070042_30000125042,Gutter,Open,1
191,10000095042_80000075042_40001742042,Gutter,Open,1
192,10000095042_Pseudo_BC000066,Gutter,Blocked,1
193,10000095051_20000701051_80001021051,Gutter,Blocked,2
194,10000095051_30000222051_BC000098,Gutter,Open,1
195,10000095051_40001001051_80000307051,Gutter,Open,15
196,10000095051_40001162051_80005542051,Gutter,Open,1
197,10000095051_40001166051_40001162051,Gutter,Blocked,2
198,10000095051_40001166051_40001162051,Gutter,Open,1
199,10000095051_40001171051_40001166051,Gutter,Open,17
200,10000095051_40001178051_80000290051,Gutter,Open,1
201,10000095051_40001927051_80000303051,Gutter,Open,1
202,10000095051_40002137051_80000308051,Gutter,Blocked,1
203,10000095051_40002137051_80000308051,Gutter,Open,6
204,10000095051_40002339051_Pseudo,Gutter,Open,1
205,10000095051_80000248051_22000070051,Gutter,Blocked,1
206,10000095051_80000248051_22000070051,Gutter,Open,10
207,10000095051_80000249051_80000250051,Gutter,Blocked,1
208,10000095051_80000249051_80000250051,Gutter,Open,2
209,10000095051_80000252051_80000249051,Gutter,Blocked,5
210,10000095051_80000275051_40001171051,Gutter,Open,5
211,10000095051_80000283051_80000278051,Gutter,Blocked,1
212,10000095051_80000290051_80001020051,Gutter,Blocked,5
213,10000095051_80000290051_80001020051,Gutter,Open,7
214,10000095051_80000296051_30400039051,Gutter,Open,2
215,10000095051_80000297051_40002305051,Gutter,Open,1
216,10000095051_80000301051_80000297051,Gutter,Blocked,1
217,10000095051_80000301051_80000297051,Gutter,Open,2
218,10000095051_80000304051_40001001051,Gutter,Open,12
219,10000095051_80000308051_80000311051,Gutter,Open,6
220,10000095051_80000312051_40002141051,Gutter,Open,6
221,10000095051_80000316051_Pseudo,Gutter,Open,7
222,10000095051_80000636051_80000639051,Gutter,Blocked,1
223,10000095051_80000636051_80000639051,Gutter,Open,2
224,10000095051_80000641051_30000222051,Gutter,Blocked,1
225,10000095051_80001021051_40001007051,Gutter,Blocked,9
226,10000095051_80001021051_40001007051,Gutter,Open,16
227,10000095051_80005542051_40001178051,Gutter,Open,4
228,10000095051_BC000043_80004824051,Gutter,Open,2
229,10000095051_Pseudo_80000316051,Gutter,Open,1
230,10000095064_20600064064_80000430064,Gutter,Open,6
231,10000095064_30000058064_80000139064,Gutter,Open,2
232,10000095064_40001510064_30000004064,Gutter,Open,1
233,10000095064_40001524064_Pseudo,Gutter,Open,1
234,10000095064_80000133064_BC000042,Gutter,Open,1
235,10000095064_80000134064_80006637064,Gutter,Open,3
236,10000095064_80000135064_80001019064,Gutter,Open,1
237,10000095064_80000429064_20000064064,Gutter,Open,1
238,10000095064_80006637064_40001510064,Gutter,Open,6
239,10000095064_BC000098_80000421064,Gutter,Blocked,1
240,10000095064_BC000098_80000421064,Gutter,Open,3
241,10000095064_Pseudo_40001544064,Gutter,Open,6
242,10000095098_10000795098_80004731098,Gutter,Open,4
243,10000095098_30000581098_40001118098,Gutter,Blocked,9
244,10000095098_40001136098_20000264098,Gutter,Open,4
245,10000095098_40001154098_80004730098,Gutter,Blocked,1
246,10000095098_80000222098_40001309098,Gutter,Blocked,1
247,10000095098_80000226098_40001154098,Gutter,Blocked,3
248,10000095098_80004730098_40001136098,Gutter,Open,1
249,10000095098_BC000051_30000581098,Gutter,Blocked,2
250,10000095098_BC000051_30000581098,Gutter,Open,1
251,10000240011_20000019011_50091213011,Gutter,Blocked,1
252,10000240011_20000019011_50091213011,Gutter,Open,4
253,10000240011_20000019011_80004914011,Gutter,Blocked,1
254,10000240011_20000019011_80004914011,Gutter,Open,2
255,10000240011_20000070011_30000694011,Gutter,Open,2
256,10000240011_30000191011_80004925011,Gutter,Open,1
257,10000240011_30000694011_80004941011,Gutter,Open,2
258,10000240011_40003548011_80005845011,Gutter,Blocked,1
259,10000240011_40003548011_80005845011,Gutter,Open,1
260,10000240011_50000913011_20000019011,Gutter,Blocked,1
261,10000240011_50000913011_20000019011,Gutter,Open,1
262,10000240011_50097207011_80004929011,Gutter,Open,1
263,10000240011_80004911011_80004906011,Gutter,Blocked,2
264,10000240011_80004912011_90000260011,Gutter,Blocked,1
265,10000240011_80004912011_90000260011,Gutter,Open,1
266,10000240011_80004914011_80004915011,Gutter,Open,3
267,10000240011_80004915011_20000070011,Gutter,Open,1
268,10000240011_80004917011_80004928011,Gutter,Open,3
269,10000240011_80004924011_30000191011,Gutter,Open,1
270,10000240011_80004928011_50094722011,Gutter,Open,1
271,10000240011_80004929011_50094653011,Gutter,Open,1
272,10000240011_80004933011_50098507011,Gutter,Open,1
273,10000240011_80004935011_80004933011,Gutter,Open,2
274,10000240011_80004940011_20600070011,Gutter,Open,2
275,10000240011_80004941011_40002244011,Gutter,Open,1
276,10000240011_80004945011_80004951011,Gutter,Blocked,1
277,10000240011_80004945011_80004951011,Gutter,Open,1
278,10000240011_80004951011_80004953011,Gutter,Open,2
279,10000240011_80004952011_80004950011,Gutter,Blocked,1
280,10000240011_80007075011_80005861011,Gutter,Blocked,1
281,10000240011_80007075011_80005861011,Gutter,Open,1
282,10000240011_80007076011_80007075011,Gutter,Open,1
283,10000240011_90000260011_20000019011,Gutter,Open,1
284,10000795096_30000222096_80005589096,Gutter,Open,3
285,10000795096_40001316096_50099520096,Gutter,Open,1
286,10000795096_40001320096_80005584096,Gutter,Open,3
287,10000795096_40001342096_80005588096,Gutter,Open,3
288,10000795096_40001361096_40001342096,Gutter,Open,9
289,10000795096_50099520096_40001320096,Gutter,Open,5
290,10000795096_50099534096_40001361096,Gutter,Open,16
291,10000795096_80005539096_40001300096,Gutter,Open,24
292,10000795096_80005584096_40001002096,Gutter,Blocked,1
293,10000795096_80005585096_50099534096,Gutter,Open,9
294,10000795096_80005588096_30000222096,Gutter,Open,6
295,10000795096_80005589096_BC000098,Gutter,Open,20
296,10000795096_80006244096_80006572096,Gutter,Open,3
297,10000795096_80006245096_40001316096,Gutter,Open,4
298,10000795098_20600264098_20600264098,Gutter,Open,2
299,10000795098_40001100098_20000264098,Gutter,Blocked,1
300,10000795098_40001100098_20000264098,Gutter,Open,4
301,10000795098_40001103098_80004704098,Gutter,Open,3
302,10000795098_40001136098_80004733098,Gutter,Blocked,1
303,10000795098_40001162098_30000042098,Gutter,Blocked,1
304,10000795098_40001162098_30000042098,Gutter,Open,4
305,10000795098_40001163098_40001162098,Gutter,Blocked,1
306,10000795098_40001163098_40001162098,Gutter,Open,6
307,10000795098_80004700098_40001136098,Gutter,Blocked,3
308,10000795098_80004700098_40001136098,Gutter,Open,3
309,10000795098_80004703098_80004700098,Gutter,Blocked,2
310,10000795098_80004704098_80004705098,Gutter,Open,3
311,10000795098_80004705098_40001163098,Gutter,Open,1
312,10000795098_80004733098_80004732098,Gutter,Blocked,4
313,10000795098_80005622098_40001645098,Gutter,Open,1
314,10000795098_BC000096_40001640098,Gutter,Open,7
315,10400095042_30000903042_80000063042,Gutter,Blocked,1
316,10400095042_40001001042_40001615042,Gutter,Open,1
317,10400095042_40001002042_80000054042,Gutter,Open,16
318,10400095042_40001210042_40001211042,Gutter,Blocked,4
319,10400095042_40001210042_40001211042,Gutter,Open,1
320,10400095042_40001211042_40001002042,Gutter,Blocked,4
321,10400095042_40001211042_40001002042,Gutter,Open,2
322,10400095042_40001226042_BC000064,Traffic-Lights,Ground-Mounted,1
323,10400095042_40001612042_40001001042,Gutter,Open,7
324,10400095042_40001615042_80000058042,Gutter,Open,4
325,10400095042_80000054042_30000481042,Gutter,Open,1
326,10400095042_80000059042_40001210042,Gutter,Open,17
327,10400095042_80000062042_30000903042,Gutter,Blocked,1
328,10400095042_BC000066_Pseudo,Gutter,Blocked,1
329,10400095042_BC000066_Pseudo,Gutter,Open,1
330,10400095042_Pseudo_40001742042,Gutter,Open,11
331,10400095051_10000040051_80000279051,Gutter,Open,1
332,10400095051_20000301051_80000637051,Gutter,Blocked,1
333,10400095051_30000050051_80000285051,Gutter,Open,1
334,10400095051_30000222051_80000642051,Gutter,Blocked,5
335,10400095051_40001001051_80000305051,Gutter,Open,7
336,10400095051_40001162051_40001166051,Gutter,Blocked,7
337,10400095051_40001162051_40001166051,Gutter,Open,6
338,10400095051_40001171051_80000276051,Gutter,Open,1
339,10400095051_40001178051_80005543051,Gutter,Open,3
340,10400095051_40002130051_80000314051,Gutter,Open,5
341,10400095051_40002137051_80000310051,Gutter,Open,2
342,10400095051_40002141051_80000313051,Gutter,Open,6
343,10400095051_40002305051_Pseudo,Gutter,Blocked,1
344,10400095051_40002305051_Pseudo,Gutter,Open,9
345,10400095051_40002339051_80000634051,Gutter,Open,1
346,10400095051_80000276051_10600040051,Gutter,Open,2
347,10400095051_80000279051_80000280051,Gutter,Open,3
348,10400095051_80000280051_80000284051,Gutter,Open,3
349,10400095051_80000284051_30000050051,Gutter,Open,1
350,10400095051_80000291051_40001178051,Gutter,Open,2
351,10400095051_80000306051_40001927051,Gutter,Blocked,1
352,10400095051_80000310051_40001001051,Gutter,Open,15
353,10400095051_80000313051_40002130051,Gutter,Open,9
354,10400095051_80000314051_80000309051,Gutter,Open,4
355,10400095051_80000634051_40002141051,Gutter,Open,11
356,10400095051_80000642051_80000643051,Gutter,Blocked,5
357,10400095051_80000642051_80000643051,Gutter,Open,1
358,10400095051_80000643051_20400301051,Gutter,Blocked,1
359,10400095051_80001023051_80000291051,Gutter,Blocked,4
360,10400095051_80001023051_80000291051,Gutter,Open,3
361,10400095051_BC000098_30000222051,Gutter,Blocked,2
362,10400095051_BC000098_30000222051,Gutter,Open,1
363,10400095051_Pseudo_40001171051,Gutter,Open,1
364,10400095051_Pseudo_80000633051,Gutter,Open,6
365,10400095064_20000064064_80000425064,Gutter,Open,2
366,10400095064_30000004064_40001510064,Gutter,Open,1
367,10400095064_30000033064_80000131064,Gutter,Open,2
368,10400095064_40001544064_40001524064,Gutter,Open,6
369,10400095064_40001603064_40001703064,Gutter,Open,1
370,10400095064_40001717064_80000137064,Gutter,Blocked,1
371,10400095064_40001745064_80000419064,Gutter,Open,1
372,10400095064_80000130064_30000033064,Gutter,Open,1
373,10400095064_80000131064_40001515064,Gutter,Open,2
374,10400095064_80000134064_80000134064,Gutter,Open,2
375,10400095064_80000420064_BC000098,Gutter,Open,1
376,10400095064_BC000042_80000130064,Gutter,Open,5
377,10400095098_10400795098_40001136098,Gutter,Open,7
378,10400095098_21000264098_80000224098,Gutter,Blocked,1
379,10400095098_30000581098_BC000051,Gutter,Blocked,11
380,10400095098_30000581098_BC000051,Gutter,Open,1
381,10400095098_40001116098_40001118098,Gutter,Blocked,1
382,10400095098_40001136098_80004735098,Gutter,Blocked,3
383,10400095098_40001154098_80000227098,Gutter,Blocked,2
384,10400095098_40001154098_80000227098,Gutter,Open,1
385,10400095098_40001309098_80000223098,Gutter,Blocked,3
386,10400095098_80000223098_21600264098,Gutter,Blocked,1
387,10400095098_80000224098_40001001098,Gutter,Blocked,1
388,10400095098_80000224098_40001001098,Gutter,Open,1
389,10400095098_80000227098_30000042098,Gutter,Blocked,4
390,10400095098_80004734098_20600264098,Gutter,Open,4
391,10400095098_80004735098_40001154098,Gutter,Blocked,6
392,10400795096_22000070096_80006241096,Gutter,Open,2
393,10400795096_40001002096_80005583096,Gutter,Open,2
394,10400795096_40001300096_80005538096,Gutter,Open,19
395,10400795096_40001316096_80006241096,Gutter,Open,20
396,10400795096_40001320096_50099520096,Gutter,Blocked,1
397,10400795096_40001320096_50099520096,Gutter,Open,18
398,10400795096_40001342096_40001361096,Gutter,Open,2
399,10400795096_40001361096_50099534096,Gutter,Open,6
400,10400795096_50099520096_40001316096,Gutter,Open,4
401,10400795096_50099534096_80005582096,Gutter,Open,1
402,10400795096_80005538096_20600070096,Gutter,Open,2
403,10400795096_80005582096_40001002096,Gutter,Blocked,2
404,10400795096_80005583096_40001320096,Gutter,Blocked,8
405,10400795096_80005583096_40001320096,Gutter,Open,6
406,10400795096_80005586096_30000222096,Gutter,Open,2
407,10400795096_80006572096_80006573096,Gutter,Open,3
408,10400795096_80006573096_40001300096,Gutter,Open,2
409,10400795096_BC000098_80005586096,Gutter,Open,5
410,10400795098_20000264098_40001100098,Gutter,Blocked,1
411,10400795098_20000264098_40001100098,Gutter,Open,1
412,10400795098_40001100098_80005627098,Gutter,Open,1
413,10400795098_40001136098_80004702098,Gutter,Blocked,1
414,10400795098_40001643098_80005624098,Gutter,Open,4
415,10400795098_40001645098_80005623098,Gutter,Open,3
416,10400795098_80004701098_30000042098,Gutter,Open,1
417,10400795098_80004730098_40001136098,Gutter,Blocked,1
418,10400795098_80004731098_80004730098,Gutter,Blocked,2
419,10400795098_80004731098_80004731098,Gutter,Open,1
420,10400795098_80005623098_40001643098,Gutter,Open,1
421,10400795098_80005624098_40001640098,Gutter,Open,4
422,10400795098_80005627098_20400301098,Gutter,Open,1
423,10400795098_80005628098_40001645098,Gutter,Open,8
424,10600026011_10600026045_80004923045,Gutter,Blocked,2
425,10600026011_40002148011_80004995011,Gutter,Open,1
426,10600026011_40003431011_Pseudo,Gutter,Blocked,1
427,10600026011_40003482011_30000191011,Gutter,Blocked,1
428,10600026011_40003482011_30000191011,Gutter,Open,15
429,10600026011_70000901011_40003482011,Gutter,Blocked,7
430,10600026011_70000901011_40003482011,Gutter,Open,3
431,10600026011_80004886011_80006286011,Gutter,Under-cons,2
432,10600026011_80004887011_70000901011,Gutter,Open,2
433,10600026011_80004895011_Pseudo,Gutter,Open,5
434,10600026011_80004923045_40003495011,Gutter,Blocked,6
435,10600026045_10600026011_80003111045,Gutter,Under-cons,1
436,10600026045_80003111045_BC000011,Gutter,Blocked,2
437,10600026057_30000213057_40001549057,Gutter,Blocked,2
438,10600026057_40001318057_40001636057,Gutter,Open,63
439,10600026057_40001318057_40001636057,Traffic-Lights,Ground-Mounted,3
440,10600026057_40001352057_50098080057,Gutter,Open,5
441,10600026057_40001557057_40001609057,Gutter,Open,2
442,10600026057_40001636057_BS000903,Gutter,Open,1
443,10600026057_50096542057_50099382057,Gutter,Open,2
444,10600026057_50096790057_80005859057,Gutter,Open,4
445,10600026057_50097933057_40001352057,Gutter,Open,2
446,10600026057_50098080057_50096542057,Gutter,Open,6
447,10600026057_50099382057_81005017057,Gutter,Open,5
448,10600026057_80005859057_40001318057,Gutter,Open,5
449,10600026057_80005860057_50096790057,Gutter,Open,4
450,10600026057_81005017057_80005860057,Gutter,Blocked,2
451,10600026057_81005017057_80005860057,Gutter,Open,47
452,10600026057_81005017057_81005017057,Gutter,Open,6
453,10600040011_10000240011_80004844011,Gutter,Open,1
454,10600040011_30000191011_10000240011,Gutter,Open,2
455,10600040011_40001224011_40001234011,Gutter,Open,16
456,10600040011_40001228011_40001220011,Gutter,Open,1
457,10600040011_40001234011_40001228011,Gutter,Blocked,2
458,10600040011_40001234011_40001228011,Gutter,Open,4
459,10600040011_40002500011_40002724011,Gutter,Open,1
460,10600040011_40002531011_80004885011,Gutter,Blocked,2
461,10600040011_40002702011_80004884011,Gutter,Blocked,7
462,10600040011_40002702011_80004884011,Gutter,Open,5
463,10600040011_40002724011_40002856011,Gutter,Open,1
464,10600040011_40002856011_80004866011,Gutter,Open,1
465,10600040011_50098546011_50094874011,Gutter,Open,2
466,10600040011_70000901011_10600240011,Gutter,Open,1
467,10600040011_80004808011_Pseudo,Gutter,Blocked,1
468,10600040011_80004829011_40003412011,Gutter,Open,2
469,10600040011_80004833011_30000191011,Gutter,Open,3
470,10600040011_80004837011_80004838011,Gutter,Blocked,1
471,10600040011_80004839011_50091317011,Gutter,Blocked,3
472,10600040011_80004839011_50091317011,Gutter,Open,2
473,10600040011_80004840011_Pseudo,Gutter,Open,6
474,10600040011_80004852011_40003075011,Gutter,Open,1
475,10600040011_80004880011_Pseudo,Gutter,Open,1
476,10600040011_80004885011_20600070011,Gutter,Blocked,2
477,10600040011_80005855011_21000025011,Gutter,Blocked,1
478,10600040011_80005855011_21000025011,Gutter,Open,1
479,10600040011_BC000059_40002702011,Gutter,Open,1
480,10600040011_Pseudo_20000019011,Gutter,Blocked,1
481,10600040011_Pseudo_20000019011,Gutter,Open,6
482,10600040011_Pseudo_40003620011,Gutter,Open,8
483,10600040011_Pseudo_Pseudo,Gutter,Blocked,5
484,10600040011_Pseudo_Pseudo,Gutter,Open,6
485,10600040012_20000064012_80002859012,Gutter,Open,3
486,10600040012_30400018012_80002867012,Gutter,Blocked,1
487,10600040012_30400018012_80002867012,Gutter,Open,4
488,10600040012_40001102012_80002854012,Gutter,Blocked,2
489,10600040012_40001102012_80002854012,Gutter,Open,4
490,10600040012_40001129012_80002843012,Gutter,Open,2
491,10600040012_40001138012_80002847012,Gutter,Open,2
492,10600040012_40001142012_80002855012,Gutter,Open,2
493,10600040012_40001147012_80002851012,Gutter,Open,3
494,10600040012_40001168012_80002850012,Gutter,Blocked,4
495,10600040012_40001168012_80002850012,Gutter,Open,9
496,10600040012_40001708012_80002866012,Gutter,Blocked,3
497,10600040012_40001708012_80002866012,Gutter,Open,6
498,10600040012_40001734012_80002880012,Gutter,Blocked,2
499,10600040012_40001734012_80002880012,Gutter,Open,2
500,10600040012_40001758012_Pseudo,Gutter,Open,1
